Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Accuracy
8,50,0.01
0,141.0,0.007042253521126761,0.049000959550201936,109.0,0.448559670781893
1,141.0,0.007042253521126761,0.053664655659561335,109.0,0.448559670781893
2,141.0,0.007042253521126761,0.040788165234152185,109.0,0.448559670781893
3,141.0,0.007042253521126761,0.030361064384055832,109.0,0.448559670781893
4,141.0,0.007042253521126761,0.03247039521079568,109.0,0.448559670781893
5,141.0,0.007042253521126761,0.034788760507473,109.0,0.448559670781893
6,141.0,0.007042253521126761,0.034356161260586826,109.0,0.448559670781893
7,141.0,0.007042253521126761,0.031133713723307897,109.0,0.448559670781893
8,138.0,0.007194244604316547,0.026244173704353967,109.0,0.448559670781893
9,138.0,0.007194244604316547,0.02857464544691586,109.0,0.448559670781893
10,138.0,0.007194244604316547,0.03424722227442374,109.0,0.448559670781893
11,138.0,0.007194244604316547,0.027194433018749655,109.0,0.448559670781893
12,138.0,0.007194244604316547,0.028245627612854304,109.0,0.448559670781893
13,138.0,0.007194244604316547,0.031798425073277715,109.0,0.448559670781893
14,138.0,0.007194244604316547,0.02800376663727534,109.0,0.448559670781893
15,138.0,0.007194244604316547,0.026664440984651865,109.0,0.448559670781893
16,138.0,0.007194244604316547,0.033055279001413466,109.0,0.448559670781893
17,138.0,0.007194244604316547,0.028448083979517473,109.0,0.448559670781893
18,138.0,0.007194244604316547,0.027479265161551015,109.0,0.448559670781893
19,138.0,0.007194244604316547,0.028498310289980504,109.0,0.448559670781893
20,138.0,0.007194244604316547,0.029091955327354164,109.0,0.448559670781893
21,138.0,0.007194244604316547,0.026215450139535926,109.0,0.448559670781893
22,126.0,0.007874015748031496,0.02859715039591258,125.0,0.51440329218107
23,126.0,0.007874015748031496,0.026113930819940376,125.0,0.51440329218107
24,126.0,0.007874015748031496,0.025440687791714066,125.0,0.51440329218107
25,126.0,0.007874015748031496,0.02624571806171136,125.0,0.51440329218107
26,126.0,0.007874015748031496,0.02533137543119459,125.0,0.51440329218107
27,126.0,0.007874015748031496,0.02822419157294062,125.0,0.51440329218107
