Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Accuracy
2,50,0.01
0,145.0,0.00684931506849315,0.05096400598581009,106.0,0.43621399176954734
1,145.0,0.00684931506849315,0.04607872390968197,106.0,0.43621399176954734
2,145.0,0.00684931506849315,0.04856986260272211,106.0,0.43621399176954734
3,145.0,0.00684931506849315,0.03830502144177741,106.0,0.43621399176954734
4,145.0,0.00684931506849315,0.03475618279725432,106.0,0.43621399176954734
5,155.0,0.00641025641025641,0.03128008259090305,89.0,0.3662551440329218
6,146.0,0.006802721088435374,0.033132940139050854,101.0,0.4156378600823045
7,146.0,0.006802721088435374,0.031256035238678745,101.0,0.4156378600823045
8,146.0,0.006802721088435374,0.030364352506597896,101.0,0.4156378600823045
9,148.0,0.006711409395973154,0.02691584538587777,100.0,0.411522633744856
10,118.0,0.008403361344537815,0.03280822625632311,133.0,0.5473251028806584
11,155.0,0.00641025641025641,0.030631046370364585,89.0,0.3662551440329218
12,149.0,0.006666666666666667,0.03164674104956898,98.0,0.40329218106995884
13,142.0,0.006993006993006993,0.03222787354087475,106.0,0.43621399176954734
14,132.0,0.007518796992481203,0.031123314010151688,115.0,0.4732510288065844
15,132.0,0.007518796992481203,0.032509542824386735,115.0,0.4732510288065844
16,142.0,0.006993006993006993,0.02906451073315975,106.0,0.43621399176954734
17,142.0,0.006993006993006993,0.028389013325069122,106.0,0.43621399176954734
18,142.0,0.006993006993006993,0.0289289789685815,106.0,0.43621399176954734
19,142.0,0.006993006993006993,0.029500538584414676,106.0,0.43621399176954734
20,142.0,0.006993006993006993,0.029599691440075217,106.0,0.43621399176954734
21,142.0,0.006993006993006993,0.030195248819986156,106.0,0.43621399176954734
22,142.0,0.006993006993006993,0.030303295778809816,106.0,0.43621399176954734
23,142.0,0.006993006993006993,0.029937394153633636,106.0,0.43621399176954734
24,142.0,0.006993006993006993,0.029412867533642726,106.0,0.43621399176954734
25,142.0,0.006993006993006993,0.028426192551324794,106.0,0.43621399176954734
26,142.0,0.006993006993006993,0.03250546311695677,106.0,0.43621399176954734
27,142.0,0.006993006993006993,0.0306308669273574,106.0,0.43621399176954734
28,138.0,0.007194244604316547,0.03208844260619913,117.0,0.48148148148148145
29,131.0,0.007575757575757576,0.03384180138978824,117.0,0.48148148148148145
30,142.0,0.006993006993006993,0.03191048869601071,106.0,0.43621399176954734
31,142.0,0.006993006993006993,0.031087837226694254,106.0,0.43621399176954734
32,131.0,0.007575757575757576,0.03471521736100105,117.0,0.48148148148148145
33,131.0,0.007575757575757576,0.0335878624579249,117.0,0.48148148148148145
34,131.0,0.007575757575757576,0.03155183612746514,117.0,0.48148148148148145
35,131.0,0.007575757575757576,0.02747734889243535,117.0,0.48148148148148145
36,131.0,0.007575757575757576,0.033721190093487945,117.0,0.48148148148148145
37,131.0,0.007575757575757576,0.03417340883777261,117.0,0.48148148148148145
38,131.0,0.007575757575757576,0.029254583600853486,117.0,0.48148148148148145
39,131.0,0.007575757575757576,0.03041649528557562,117.0,0.48148148148148145
40,131.0,0.007575757575757576,0.03857095677722941,117.0,0.48148148148148145
41,131.0,0.007575757575757576,0.03155611570819784,117.0,0.48148148148148145
42,131.0,0.007575757575757576,0.03018807476926897,117.0,0.48148148148148145
43,131.0,0.007575757575757576,0.03299887706973064,117.0,0.48148148148148145
44,131.0,0.007575757575757576,0.03215330727763496,117.0,0.48148148148148145
45,131.0,0.007575757575757576,0.032576919003414695,117.0,0.48148148148148145
46,131.0,0.007575757575757576,0.038650525834631515,117.0,0.48148148148148145
47,131.0,0.007575757575757576,0.02952787832163966,117.0,0.48148148148148145
48,131.0,0.007575757575757576,0.032565201131829744,117.0,0.48148148148148145
49,131.0,0.007575757575757576,0.031931330541048596,117.0,0.48148148148148145
50,131.0,0.007575757575757576,0.026673384061901288,117.0,0.48148148148148145
51,131.0,0.007575757575757576,0.02691338095303445,117.0,0.48148148148148145
52,131.0,0.007575757575757576,0.025630173442801326,117.0,0.48148148148148145
53,131.0,0.007575757575757576,0.02602563003520848,117.0,0.48148148148148145
54,131.0,0.007575757575757576,0.029535198152924037,117.0,0.48148148148148145
55,131.0,0.007575757575757576,0.029967063350847395,117.0,0.48148148148148145
56,131.0,0.007575757575757576,0.027433503815548592,117.0,0.48148148148148145
57,131.0,0.007575757575757576,0.030202932938002303,117.0,0.48148148148148145
58,131.0,0.007575757575757576,0.026092902048207887,117.0,0.48148148148148145
59,131.0,0.007575757575757576,0.03087943689775132,117.0,0.48148148148148145
60,131.0,0.007575757575757576,0.031655034373538435,117.0,0.48148148148148145
61,131.0,0.007575757575757576,0.02991308857863252,117.0,0.48148148148148145
62,131.0,0.007575757575757576,0.035255532662473894,117.0,0.48148148148148145
63,131.0,0.007575757575757576,0.029640820090105522,117.0,0.48148148148148145
64,131.0,0.007575757575757576,0.02768584562006345,117.0,0.48148148148148145
65,130.0,0.007633587786259542,0.027109041003978433,124.0,0.5102880658436214
66,130.0,0.007633587786259542,0.02780044276661038,124.0,0.5102880658436214
67,131.0,0.007575757575757576,0.029148603559139306,117.0,0.48148148148148145
68,131.0,0.007575757575757576,0.03567316040983072,117.0,0.48148148148148145
69,131.0,0.007575757575757576,0.03069880603875443,117.0,0.48148148148148145
70,131.0,0.007575757575757576,0.03295749743056508,117.0,0.48148148148148145
71,104.0,0.009523809523809525,0.04936131917101282,153.0,0.6296296296296297
72,131.0,0.007575757575757576,0.03537140708033576,117.0,0.48148148148148145
73,131.0,0.007575757575757576,0.03415360309024855,117.0,0.48148148148148145
74,131.0,0.007575757575757576,0.02843118768038551,117.0,0.48148148148148145
75,131.0,0.007575757575757576,0.029643236758384962,117.0,0.48148148148148145
76,129.0,0.007692307692307693,0.02875317520656229,122.0,0.5020576131687243
77,129.0,0.007692307692307693,0.03032895230881155,122.0,0.5020576131687243
78,129.0,0.007692307692307693,0.028004285288984087,122.0,0.5020576131687243
79,129.0,0.007692307692307693,0.027606519025826514,122.0,0.5020576131687243
80,96.0,0.010309278350515464,0.0354580598342644,154.0,0.6337448559670782
81,96.0,0.010309278350515464,0.03907244787628574,154.0,0.6337448559670782
82,96.0,0.010309278350515464,0.04072399202781065,154.0,0.6337448559670782
83,131.0,0.007575757575757576,0.030631644411574132,117.0,0.48148148148148145
84,131.0,0.007575757575757576,0.031141121060806406,117.0,0.48148148148148145
85,131.0,0.007575757575757576,0.02686793560252452,117.0,0.48148148148148145
86,131.0,0.007575757575757576,0.02942858991375705,117.0,0.48148148148148145
87,131.0,0.007575757575757576,0.026808428078993245,117.0,0.48148148148148145
88,131.0,0.007575757575757576,0.03256329280862109,117.0,0.48148148148148145
89,131.0,0.007575757575757576,0.02885338041921624,117.0,0.48148148148148145
90,131.0,0.007575757575757576,0.03239632392460843,117.0,0.48148148148148145
91,131.0,0.007575757575757576,0.030118235426554348,117.0,0.48148148148148145
92,131.0,0.007575757575757576,0.0337448623180748,117.0,0.48148148148148145
93,128.0,0.007751937984496124,0.035344938419909565,123.0,0.5061728395061729
94,128.0,0.007751937984496124,0.030194170369681115,123.0,0.5061728395061729
95,128.0,0.007751937984496124,0.03531485894544213,123.0,0.5061728395061729
96,128.0,0.007751937984496124,0.032446453987903134,123.0,0.5061728395061729
97,128.0,0.007751937984496124,0.02832205116002512,123.0,0.5061728395061729
98,128.0,0.007751937984496124,0.028910291656420617,123.0,0.5061728395061729
99,128.0,0.007751937984496124,0.02812305423007365,123.0,0.5061728395061729
100,128.0,0.007751937984496124,0.03073706806002112,123.0,0.5061728395061729
101,128.0,0.007751937984496124,0.0314469953146562,123.0,0.5061728395061729
102,131.0,0.007575757575757576,0.028700501839723,117.0,0.48148148148148145
103,128.0,0.007751937984496124,0.03278658823164548,123.0,0.5061728395061729
104,131.0,0.007575757575757576,0.0336811017558563,117.0,0.48148148148148145
105,131.0,0.007575757575757576,0.03332743099131522,117.0,0.48148148148148145
106,131.0,0.007575757575757576,0.03502329175042637,117.0,0.48148148148148145
107,131.0,0.007575757575757576,0.0329051100421331,117.0,0.48148148148148145
