Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Accuracy
6,100,0.0
0,113.0,0.008771929824561403,0.03474434405110065,126.0,0.5431034482758621
1,113.0,0.008771929824561403,0.02170507203744957,126.0,0.5431034482758621
2,112.0,0.008849557522123894,0.018751768335773744,124.0,0.5344827586206896
3,112.0,0.008849557522123894,0.01721121608082914,124.0,0.5344827586206896
4,112.0,0.008849557522123894,0.016443242922968792,124.0,0.5344827586206896
5,110.0,0.009009009009009009,0.0174326004709791,126.0,0.5431034482758621
6,105.0,0.009433962264150943,0.017648314774769355,134.0,0.5775862068965517
7,105.0,0.009433962264150943,0.014705924589841834,134.0,0.5775862068965517
8,105.0,0.009433962264150943,0.014883201812603351,134.0,0.5775862068965517
9,105.0,0.009433962264150943,0.014607548349929821,134.0,0.5775862068965517
10,105.0,0.009433962264150943,0.01463525546254962,134.0,0.5775862068965517
11,103.0,0.009615384615384616,0.01493597296496051,136.0,0.5862068965517241
12,103.0,0.009615384615384616,0.016984432607298334,136.0,0.5862068965517241
13,103.0,0.009615384615384616,0.013845029817773134,136.0,0.5862068965517241
14,103.0,0.009615384615384616,0.014003443879419184,136.0,0.5862068965517241
15,103.0,0.009615384615384616,0.01604945707398725,136.0,0.5862068965517241
16,101.0,0.00980392156862745,0.015180273572040697,138.0,0.5948275862068966
17,101.0,0.00980392156862745,0.016188064606818618,138.0,0.5948275862068966
18,101.0,0.00980392156862745,0.016391523791098817,138.0,0.5948275862068966
19,101.0,0.00980392156862745,0.016741326422052945,138.0,0.5948275862068966
20,101.0,0.00980392156862745,0.016003897853603323,138.0,0.5948275862068966
21,101.0,0.00980392156862745,0.01569013818684655,138.0,0.5948275862068966
22,96.0,0.010309278350515464,0.014859023231011298,143.0,0.6163793103448276
23,96.0,0.010309278350515464,0.014781816316475935,143.0,0.6163793103448276
24,96.0,0.010309278350515464,0.015459403937599727,143.0,0.6163793103448276
25,96.0,0.010309278350515464,0.015182281522578804,143.0,0.6163793103448276
26,96.0,0.010309278350515464,0.013893594236047123,143.0,0.6163793103448276
27,96.0,0.010309278350515464,0.019088686193171975,143.0,0.6163793103448276
28,94.0,0.010526315789473684,0.016131614008206493,145.0,0.625
29,94.0,0.010526315789473684,0.01685258465893486,145.0,0.625
30,94.0,0.010526315789473684,0.01658710299761044,145.0,0.625
31,94.0,0.010526315789473684,0.01582666445400655,145.0,0.625
32,94.0,0.010526315789473684,0.01689153156661116,145.0,0.625
33,94.0,0.010526315789473684,0.01573732895745595,145.0,0.625
34,94.0,0.010526315789473684,0.016920523279685174,145.0,0.625
35,94.0,0.010526315789473684,0.015588669408993169,145.0,0.625
36,94.0,0.010526315789473684,0.018785466021746994,145.0,0.625
37,94.0,0.010526315789473684,0.01662186217934331,145.0,0.625
38,94.0,0.010526315789473684,0.016832626896215317,145.0,0.625
39,94.0,0.010526315789473684,0.01579016718419407,145.0,0.625
40,94.0,0.010526315789473684,0.01691412093709532,145.0,0.625
41,94.0,0.010526315789473684,0.01825265795929011,145.0,0.625
42,94.0,0.010526315789473684,0.015618009948519557,145.0,0.625
43,94.0,0.010526315789473684,0.013262671057481202,145.0,0.625
44,94.0,0.010526315789473684,0.015511595778243008,145.0,0.625
45,94.0,0.010526315789473684,0.01592098381434008,145.0,0.625
46,94.0,0.010526315789473684,0.014339511392571253,145.0,0.625
47,94.0,0.010526315789473684,0.014196670048496169,145.0,0.625
48,94.0,0.010526315789473684,0.014723939371965276,145.0,0.625
49,94.0,0.010526315789473684,0.01350506032734154,145.0,0.625
50,94.0,0.010526315789473684,0.013971836651643183,145.0,0.625
51,94.0,0.010526315789473684,0.017299461554329723,145.0,0.625
