Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Accuracy
6,50,0.0
0,132.0,0.007518796992481203,0.07905572746653235,110.0,0.46218487394957986
1,132.0,0.007518796992481203,0.054221735186056615,110.0,0.46218487394957986
2,132.0,0.007518796992481203,0.035622491013355816,110.0,0.46218487394957986
3,132.0,0.007518796992481203,0.0345552555930464,110.0,0.46218487394957986
4,132.0,0.007518796992481203,0.032418646018183055,110.0,0.46218487394957986
5,132.0,0.007518796992481203,0.032335270005001436,110.0,0.46218487394957986
6,132.0,0.007518796992481203,0.02437090122835115,110.0,0.46218487394957986
7,132.0,0.007518796992481203,0.027217188369239184,110.0,0.46218487394957986
8,123.0,0.008064516129032258,0.02962783254093228,119.0,0.5
9,123.0,0.008064516129032258,0.028973558285816502,119.0,0.5
10,123.0,0.008064516129032258,0.031296062893676715,119.0,0.5
11,123.0,0.008064516129032258,0.026404117426504243,119.0,0.5
12,123.0,0.008064516129032258,0.02684136824282145,119.0,0.5
13,123.0,0.008064516129032258,0.02554750703241814,119.0,0.5
14,123.0,0.008064516129032258,0.02548506988435732,119.0,0.5
15,123.0,0.008064516129032258,0.028967161211789567,119.0,0.5
16,123.0,0.008064516129032258,0.02717889009858139,119.0,0.5
17,123.0,0.008064516129032258,0.030432730216826763,119.0,0.5
18,123.0,0.008064516129032258,0.02988629072338409,119.0,0.5
19,123.0,0.008064516129032258,0.031096258188962386,119.0,0.5
20,123.0,0.008064516129032258,0.02836816544654036,119.0,0.5
21,123.0,0.008064516129032258,0.028336300437332797,119.0,0.5
22,123.0,0.008064516129032258,0.029094404479502116,119.0,0.5
23,123.0,0.008064516129032258,0.03278202086877943,119.0,0.5
24,123.0,0.008064516129032258,0.029724580995099524,119.0,0.5
25,123.0,0.008064516129032258,0.028176743171106185,119.0,0.5
26,123.0,0.008064516129032258,0.0348628912441903,119.0,0.5
27,123.0,0.008064516129032258,0.02885397809815997,119.0,0.5
28,123.0,0.008064516129032258,0.029066688657912693,119.0,0.5
29,123.0,0.008064516129032258,0.03648255798660081,119.0,0.5
30,123.0,0.008064516129032258,0.026511257328928818,119.0,0.5
31,123.0,0.008064516129032258,0.03038085396497441,119.0,0.5
32,123.0,0.008064516129032258,0.02676868107885183,119.0,0.5
33,123.0,0.008064516129032258,0.027874493326767023,119.0,0.5
34,123.0,0.008064516129032258,0.02483777830605376,119.0,0.5
35,123.0,0.008064516129032258,0.02682055251766558,119.0,0.5
36,123.0,0.008064516129032258,0.028630038097967627,119.0,0.5
37,123.0,0.008064516129032258,0.03531379749832866,119.0,0.5
38,123.0,0.008064516129032258,0.030684277360456785,119.0,0.5
39,123.0,0.008064516129032258,0.031395424635622365,119.0,0.5
40,123.0,0.008064516129032258,0.028564750957893684,119.0,0.5
41,123.0,0.008064516129032258,0.029117982743922403,119.0,0.5
42,123.0,0.008064516129032258,0.025398793414775474,119.0,0.5
43,123.0,0.008064516129032258,0.025511172221840083,119.0,0.5
44,109.0,0.00909090909090909,0.03226495376460153,136.0,0.5714285714285714
45,109.0,0.00909090909090909,0.04344543941931836,136.0,0.5714285714285714
46,109.0,0.00909090909090909,0.038068079136707275,136.0,0.5714285714285714
47,109.0,0.00909090909090909,0.03289365020520205,136.0,0.5714285714285714
48,109.0,0.00909090909090909,0.03552962128036176,136.0,0.5714285714285714
49,109.0,0.00909090909090909,0.032199300712433244,136.0,0.5714285714285714
50,109.0,0.00909090909090909,0.03659508614050578,136.0,0.5714285714285714
51,109.0,0.00909090909090909,0.03045018851067737,136.0,0.5714285714285714
52,109.0,0.00909090909090909,0.039869060587481214,136.0,0.5714285714285714
53,109.0,0.00909090909090909,0.035433008593331004,136.0,0.5714285714285714
