Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Accuracy
2,100,0.01
0,135.0,0.007352941176470588,0.02216096282976429,117.0,0.5109170305676856
1,135.0,0.007352941176470588,0.0180522514190158,117.0,0.5109170305676856
2,124.0,0.008,0.017624143609099883,125.0,0.5458515283842795
3,118.0,0.008403361344537815,0.018532789357507976,115.0,0.5021834061135371
4,118.0,0.008403361344537815,0.016170575961660136,115.0,0.5021834061135371
5,118.0,0.008403361344537815,0.017376493251886373,115.0,0.5021834061135371
6,110.0,0.009009009009009009,0.01737040639767409,126.0,0.5502183406113537
7,118.0,0.008403361344537815,0.01643566441766035,115.0,0.5021834061135371
8,118.0,0.008403361344537815,0.016367244123651647,115.0,0.5021834061135371
9,118.0,0.008403361344537815,0.019042166110362958,115.0,0.5021834061135371
10,118.0,0.008403361344537815,0.019652514573655445,115.0,0.5021834061135371
11,95.0,0.010416666666666666,0.02091557422206426,138.0,0.6026200873362445
12,95.0,0.010416666666666666,0.02059271383937281,138.0,0.6026200873362445
13,95.0,0.010416666666666666,0.022490145526310977,138.0,0.6026200873362445
14,95.0,0.010416666666666666,0.02259716704909235,138.0,0.6026200873362445
15,95.0,0.010416666666666666,0.02157378651223467,138.0,0.6026200873362445
16,88.0,0.011235955056179775,0.02135936168072762,148.0,0.6462882096069869
17,88.0,0.011235955056179775,0.02199093198962017,148.0,0.6462882096069869
18,88.0,0.011235955056179775,0.02184418496522419,148.0,0.6462882096069869
19,95.0,0.010416666666666666,0.022027372079759248,138.0,0.6026200873362445
20,109.0,0.00909090909090909,0.019711467153987687,149.0,0.6506550218340611
21,109.0,0.00909090909090909,0.01787097954528896,149.0,0.6506550218340611
22,98.0,0.010101010101010102,0.020312019771813676,138.0,0.6026200873362445
23,109.0,0.00909090909090909,0.01931677472183146,149.0,0.6506550218340611
24,109.0,0.00909090909090909,0.017905356001188925,149.0,0.6506550218340611
25,109.0,0.00909090909090909,0.018743275168972427,149.0,0.6506550218340611
26,98.0,0.010101010101010102,0.02059049151991791,138.0,0.6026200873362445
27,109.0,0.00909090909090909,0.016308272102838497,149.0,0.6506550218340611
28,95.0,0.010416666666666666,0.01932781394857142,138.0,0.6026200873362445
29,95.0,0.010416666666666666,0.020135202680507724,138.0,0.6026200873362445
30,109.0,0.00909090909090909,0.0176783662016979,149.0,0.6506550218340611
31,113.0,0.008771929824561403,0.01921296115689057,123.0,0.537117903930131
32,104.0,0.009523809523809525,0.02158502020277443,138.0,0.6026200873362445
33,104.0,0.009523809523809525,0.02024501070858069,138.0,0.6026200873362445
34,104.0,0.009523809523809525,0.022755527510213848,138.0,0.6026200873362445
35,113.0,0.008771929824561403,0.018282458066378834,123.0,0.537117903930131
36,89.0,0.011111111111111112,0.023653593654647177,147.0,0.6419213973799127
37,89.0,0.011111111111111112,0.02149501374455823,147.0,0.6419213973799127
38,89.0,0.011111111111111112,0.019332274556708526,147.0,0.6419213973799127
39,89.0,0.011111111111111112,0.019541587612748247,147.0,0.6419213973799127
40,89.0,0.011111111111111112,0.0191285017938827,147.0,0.6419213973799127
41,89.0,0.011111111111111112,0.019628231688995062,147.0,0.6419213973799127
42,89.0,0.011111111111111112,0.021248191181114415,147.0,0.6419213973799127
43,104.0,0.009523809523809525,0.01931397366519519,129.0,0.5633187772925764
44,104.0,0.009523809523809525,0.019657469710102748,129.0,0.5633187772925764
45,104.0,0.009523809523809525,0.01821848283969574,129.0,0.5633187772925764
46,102.0,0.009708737864077669,0.016655173169775737,137.0,0.5982532751091703
47,99.0,0.01,0.01657518543679594,137.0,0.5982532751091703
48,102.0,0.009708737864077669,0.016154023712677625,137.0,0.5982532751091703
49,94.0,0.010526315789473684,0.018793060245083468,145.0,0.6331877729257642
50,94.0,0.010526315789473684,0.02232823542488793,145.0,0.6331877729257642
51,92.0,0.010752688172043012,0.02238874469320262,147.0,0.6419213973799127
52,97.0,0.01020408163265306,0.019823985554819783,136.0,0.5938864628820961
53,97.0,0.01020408163265306,0.01698541210971082,136.0,0.5938864628820961
54,97.0,0.01020408163265306,0.017830957425710448,136.0,0.5938864628820961
55,97.0,0.01020408163265306,0.017259912077628937,136.0,0.5938864628820961
56,97.0,0.01020408163265306,0.01827019461909268,136.0,0.5938864628820961
57,97.0,0.01020408163265306,0.01883429255539249,136.0,0.5938864628820961
58,97.0,0.01020408163265306,0.01615804799473307,136.0,0.5938864628820961
59,95.0,0.010416666666666666,0.01732268106293728,138.0,0.6026200873362445
60,95.0,0.010416666666666666,0.016988371847097332,138.0,0.6026200873362445
61,95.0,0.010416666666666666,0.017163461145015466,138.0,0.6026200873362445
62,88.0,0.011235955056179775,0.018305892463781642,149.0,0.6506550218340611
63,95.0,0.010416666666666666,0.016346554025006295,138.0,0.6026200873362445
64,95.0,0.010416666666666666,0.01744735694539344,138.0,0.6026200873362445
65,95.0,0.010416666666666666,0.017159160232900445,138.0,0.6026200873362445
66,92.0,0.010752688172043012,0.015675196447241625,147.0,0.6419213973799127
67,92.0,0.010752688172043012,0.016573431975981164,147.0,0.6419213973799127
68,95.0,0.010416666666666666,0.016056144009948748,138.0,0.6026200873362445
69,94.0,0.010526315789473684,0.015361858966935637,145.0,0.6331877729257642
70,94.0,0.010526315789473684,0.017229693801774446,145.0,0.6331877729257642
71,94.0,0.010526315789473684,0.016111421241215597,145.0,0.6331877729257642
72,94.0,0.010526315789473684,0.01773992579035863,145.0,0.6331877729257642
73,94.0,0.010526315789473684,0.01654305098945555,145.0,0.6331877729257642
74,94.0,0.010526315789473684,0.01567694170231558,145.0,0.6331877729257642
75,94.0,0.010526315789473684,0.01721408488476295,145.0,0.6331877729257642
76,94.0,0.010526315789473684,0.016107496140295566,145.0,0.6331877729257642
77,94.0,0.010526315789473684,0.016391143646459452,151.0,0.6593886462882096
78,94.0,0.010526315789473684,0.016499292601936555,151.0,0.6593886462882096
79,94.0,0.010526315789473684,0.017419495312266768,151.0,0.6593886462882096
80,92.0,0.010752688172043012,0.015760250808418592,153.0,0.6681222707423581
81,92.0,0.010752688172043012,0.017668981951776973,153.0,0.6681222707423581
82,92.0,0.010752688172043012,0.019211981152816093,153.0,0.6681222707423581
83,94.0,0.010526315789473684,0.017512846355616184,145.0,0.6331877729257642
84,91.0,0.010869565217391304,0.016653198011181366,145.0,0.6331877729257642
85,94.0,0.010526315789473684,0.016311881429539623,145.0,0.6331877729257642
86,94.0,0.010526315789473684,0.016718258297672595,145.0,0.6331877729257642
87,94.0,0.010526315789473684,0.016834570674323843,145.0,0.6331877729257642
88,94.0,0.010526315789473684,0.01919513235599461,145.0,0.6331877729257642
89,94.0,0.010526315789473684,0.021301366488462377,145.0,0.6331877729257642
90,94.0,0.010526315789473684,0.02146368866165565,145.0,0.6331877729257642
91,94.0,0.010526315789473684,0.02171743164839478,145.0,0.6331877729257642
92,93.0,0.010638297872340425,0.02077176060055955,149.0,0.6506550218340611
93,94.0,0.010526315789473684,0.021215127581472225,145.0,0.6331877729257642
94,94.0,0.010526315789473684,0.020072114324197417,145.0,0.6331877729257642
95,94.0,0.010526315789473684,0.0196878775486169,145.0,0.6331877729257642
96,94.0,0.010526315789473684,0.018698651763528962,145.0,0.6331877729257642
97,94.0,0.010526315789473684,0.018199739304697347,145.0,0.6331877729257642
98,94.0,0.010526315789473684,0.019070496199303313,145.0,0.6331877729257642
99,94.0,0.010526315789473684,0.023236870883510705,145.0,0.6331877729257642
100,92.0,0.010752688172043012,0.025680877548172866,144.0,0.62882096069869
101,92.0,0.010752688172043012,0.020838920125987283,144.0,0.62882096069869
102,92.0,0.010752688172043012,0.0206071458264368,144.0,0.62882096069869
103,94.0,0.010526315789473684,0.018328615324503913,148.0,0.6462882096069869
104,94.0,0.010526315789473684,0.017177229857085415,148.0,0.6462882096069869
105,93.0,0.010638297872340425,0.018566705391400123,149.0,0.6506550218340611
106,93.0,0.010638297872340425,0.01858124453026876,149.0,0.6506550218340611
107,93.0,0.010638297872340425,0.017641645427377943,149.0,0.6506550218340611
108,93.0,0.010638297872340425,0.01602545684452171,149.0,0.6506550218340611
109,91.0,0.010869565217391304,0.01635820596085956,145.0,0.6331877729257642
110,91.0,0.010869565217391304,0.016634529684069744,145.0,0.6331877729257642
111,91.0,0.010869565217391304,0.015751555817925447,145.0,0.6331877729257642
112,91.0,0.010869565217391304,0.018003553121870113,145.0,0.6331877729257642
113,88.0,0.011235955056179775,0.018849940316101516,148.0,0.6462882096069869
114,88.0,0.011235955056179775,0.016743835642642722,148.0,0.6462882096069869
115,88.0,0.011235955056179775,0.019308686901775545,148.0,0.6462882096069869
116,88.0,0.011235955056179775,0.017467782509183884,148.0,0.6462882096069869
117,88.0,0.011235955056179775,0.016202369993833805,148.0,0.6462882096069869
118,88.0,0.011235955056179775,0.01624404651671295,148.0,0.6462882096069869
119,88.0,0.011235955056179775,0.017346573691844846,148.0,0.6462882096069869
120,88.0,0.011235955056179775,0.017414925450069528,148.0,0.6462882096069869
121,91.0,0.010869565217391304,0.018297792306006914,145.0,0.6331877729257642
122,91.0,0.010869565217391304,0.017290958658570003,145.0,0.6331877729257642
123,91.0,0.010869565217391304,0.016549557220915372,145.0,0.6331877729257642
124,91.0,0.010869565217391304,0.018760903479524808,145.0,0.6331877729257642
125,91.0,0.010869565217391304,0.0198334934893725,145.0,0.6331877729257642
126,91.0,0.010869565217391304,0.019005400537163084,145.0,0.6331877729257642
127,91.0,0.010869565217391304,0.018955127956436304,145.0,0.6331877729257642
128,88.0,0.011235955056179775,0.01815993572282485,148.0,0.6462882096069869
129,88.0,0.011235955056179775,0.018383565965758512,148.0,0.6462882096069869
130,88.0,0.011235955056179775,0.019983685696540673,148.0,0.6462882096069869
131,91.0,0.010869565217391304,0.018524750969199356,145.0,0.6331877729257642
132,91.0,0.010869565217391304,0.02097136720217299,145.0,0.6331877729257642
133,91.0,0.010869565217391304,0.01854997952911257,145.0,0.6331877729257642
134,91.0,0.010869565217391304,0.018512894700923755,145.0,0.6331877729257642
135,91.0,0.010869565217391304,0.01933351765978338,145.0,0.6331877729257642
136,88.0,0.011235955056179775,0.016527801206741216,148.0,0.6462882096069869
137,88.0,0.011235955056179775,0.01636517353891137,148.0,0.6462882096069869
138,88.0,0.011235955056179775,0.016205144706436664,148.0,0.6462882096069869
139,88.0,0.011235955056179775,0.01766316066460834,148.0,0.6462882096069869
140,88.0,0.011235955056179775,0.018299688816046145,148.0,0.6462882096069869
141,88.0,0.011235955056179775,0.018167524016705038,148.0,0.6462882096069869
142,88.0,0.011235955056179775,0.016359761266985105,148.0,0.6462882096069869
143,88.0,0.011235955056179775,0.016585416916069056,148.0,0.6462882096069869
144,88.0,0.011235955056179775,0.015990566721266013,148.0,0.6462882096069869
145,88.0,0.011235955056179775,0.017065857906536978,148.0,0.6462882096069869
146,88.0,0.011235955056179775,0.017104125844023044,148.0,0.6462882096069869
147,88.0,0.011235955056179775,0.018002745409393284,148.0,0.6462882096069869
148,88.0,0.011235955056179775,0.020772169109310144,148.0,0.6462882096069869
149,88.0,0.011235955056179775,0.021885699052922463,148.0,0.6462882096069869
150,88.0,0.011235955056179775,0.019711634416967994,148.0,0.6462882096069869
151,88.0,0.011235955056179775,0.018098785946964534,148.0,0.6462882096069869
152,86.0,0.011494252873563218,0.016119513877392515,154.0,0.6724890829694323
153,86.0,0.011494252873563218,0.01564472055354226,154.0,0.6724890829694323
154,86.0,0.011494252873563218,0.017381131347832934,154.0,0.6724890829694323
155,86.0,0.011494252873563218,0.01757018809374087,154.0,0.6724890829694323
156,86.0,0.011494252873563218,0.017989604697415718,154.0,0.6724890829694323
157,86.0,0.011494252873563218,0.01660895268969235,154.0,0.6724890829694323
158,86.0,0.011494252873563218,0.016519657500710157,154.0,0.6724890829694323
159,86.0,0.011494252873563218,0.016994222151872445,154.0,0.6724890829694323
160,86.0,0.011494252873563218,0.01674865592791272,154.0,0.6724890829694323
161,86.0,0.011494252873563218,0.01643127481411532,154.0,0.6724890829694323
162,86.0,0.011494252873563218,0.01569015237070796,154.0,0.6724890829694323
163,86.0,0.011494252873563218,0.016218148094997414,154.0,0.6724890829694323
164,86.0,0.011494252873563218,0.015617338703333112,154.0,0.6724890829694323
165,86.0,0.011494252873563218,0.015911659714224667,154.0,0.6724890829694323
166,86.0,0.011494252873563218,0.014915330240793185,154.0,0.6724890829694323
167,86.0,0.011494252873563218,0.015609027059411794,154.0,0.6724890829694323
168,88.0,0.011235955056179775,0.017449187766112092,148.0,0.6462882096069869
169,88.0,0.011235955056179775,0.016278851961587702,148.0,0.6462882096069869
170,88.0,0.011235955056179775,0.017716397781941385,148.0,0.6462882096069869
171,88.0,0.011235955056179775,0.018120159597902676,148.0,0.6462882096069869
172,88.0,0.011235955056179775,0.018435197727436042,148.0,0.6462882096069869
173,91.0,0.010869565217391304,0.02078217068299476,148.0,0.6462882096069869
174,91.0,0.010869565217391304,0.018661092972364877,148.0,0.6462882096069869
175,91.0,0.010869565217391304,0.015086742516797872,148.0,0.6462882096069869
176,92.0,0.010752688172043012,0.015632389704513878,154.0,0.6724890829694323
177,92.0,0.010752688172043012,0.015180621856112863,154.0,0.6724890829694323
178,88.0,0.011235955056179775,0.01690560341170074,148.0,0.6462882096069869
179,88.0,0.011235955056179775,0.016164731453184804,148.0,0.6462882096069869
180,88.0,0.011235955056179775,0.017355608927106626,148.0,0.6462882096069869
181,88.0,0.011235955056179775,0.017377567360115878,148.0,0.6462882096069869
182,88.0,0.011235955056179775,0.015738205218378615,148.0,0.6462882096069869
183,88.0,0.011235955056179775,0.01569036829615848,148.0,0.6462882096069869
184,88.0,0.011235955056179775,0.017434869351463603,148.0,0.6462882096069869
185,88.0,0.011235955056179775,0.018699783355728455,148.0,0.6462882096069869
186,88.0,0.011235955056179775,0.017359592263886926,148.0,0.6462882096069869
187,88.0,0.011235955056179775,0.016956775886807038,148.0,0.6462882096069869
188,88.0,0.011235955056179775,0.018944351468942515,148.0,0.6462882096069869
189,88.0,0.011235955056179775,0.019342549667279354,148.0,0.6462882096069869
190,88.0,0.011235955056179775,0.022464760032565884,148.0,0.6462882096069869
191,88.0,0.011235955056179775,0.018458828409460133,148.0,0.6462882096069869
192,88.0,0.011235955056179775,0.01829509809025336,148.0,0.6462882096069869
193,88.0,0.011235955056179775,0.019555922159955757,148.0,0.6462882096069869
194,88.0,0.011235955056179775,0.01941799816310082,148.0,0.6462882096069869
195,88.0,0.011235955056179775,0.018571054046310802,148.0,0.6462882096069869
196,88.0,0.011235955056179775,0.017288876424496585,148.0,0.6462882096069869
197,88.0,0.011235955056179775,0.016239995324823363,148.0,0.6462882096069869
198,88.0,0.011235955056179775,0.01564672254759135,148.0,0.6462882096069869
199,88.0,0.011235955056179775,0.016670391870448508,148.0,0.6462882096069869
