Gen;Accuracy
0;41.52542372881356
200;81.35593220338984
400;81.35593220338984
600;81.35593220338984
800;81.35593220338984
1000;81.35593220338984
1200;81.35593220338984
1400;81.35593220338984
1600;81.35593220338984
1800;81.35593220338984
2000;81.35593220338984
2200;81.35593220338984
2400;81.35593220338984
2600;81.35593220338984
2800;81.35593220338984
3000;81.35593220338984
3200;81.35593220338984
3400;81.35593220338984
3600;81.35593220338984
3800;81.35593220338984
4000;81.35593220338984
4200;81.35593220338984
4400;83.47457627118644
4600;83.47457627118644
4800;83.47457627118644
5000;83.47457627118644
5200;83.47457627118644
5400;83.47457627118644
5600;83.47457627118644
