Gen;Accuracy
0;50.0
200;62.39316239316239
400;74.78632478632478
600;79.05982905982906
800;79.05982905982906
1000;79.05982905982906
1200;79.05982905982906
1400;79.05982905982906
1600;79.05982905982906
1800;81.19658119658119
2000;81.19658119658119
2200;81.19658119658119
2400;81.19658119658119
2600;81.19658119658119
2800;81.19658119658119
3000;81.19658119658119
3200;81.19658119658119
3400;81.19658119658119
3600;81.19658119658119
3800;81.19658119658119
4000;81.19658119658119
4200;81.19658119658119
4400;81.19658119658119
4600;81.19658119658119
4800;81.19658119658119
5000;81.19658119658119
5200;81.19658119658119
5400;81.19658119658119
5600;81.19658119658119
5800;81.19658119658119
6000;81.19658119658119
6200;81.19658119658119
6400;81.19658119658119
6600;81.19658119658119
6800;81.19658119658119
7000;81.19658119658119
7200;81.19658119658119
7400;81.19658119658119
7600;81.19658119658119
7800;81.19658119658119
8000;81.19658119658119
8200;81.19658119658119
8400;81.19658119658119
8600;81.19658119658119
8800;81.19658119658119
9000;81.19658119658119
9200;81.19658119658119
9400;81.19658119658119
9600;81.19658119658119
9800;81.19658119658119
9999;81.19658119658119
