Gen;Accuracy
0;54.112554112554115
200;65.80086580086581
400;65.80086580086581
600;65.80086580086581
800;67.96536796536796
1000;65.80086580086581
1200;65.80086580086581
1400;65.80086580086581
1600;69.26406926406926
1800;69.26406926406926
2000;69.26406926406926
2200;69.26406926406926
2400;72.72727272727273
2600;72.72727272727273
2800;72.72727272727273
3000;72.72727272727273
3200;72.72727272727273
3400;72.72727272727273
3600;72.72727272727273
3800;72.72727272727273
4000;72.72727272727273
4200;72.72727272727273
4400;72.72727272727273
4600;72.72727272727273
4800;72.72727272727273
5000;72.72727272727273
5200;72.72727272727273
5400;72.72727272727273
5600;72.72727272727273
5800;72.72727272727273
6000;72.72727272727273
6200;72.72727272727273
6400;72.72727272727273
6600;69.26406926406926
6800;69.26406926406926
7000;74.02597402597402
7200;76.19047619047619
7400;76.19047619047619
7600;76.19047619047619
7800;76.19047619047619
8000;75.75757575757575
8200;76.19047619047619
8400;76.19047619047619
8600;76.19047619047619
8800;76.19047619047619
9000;76.19047619047619
9200;76.19047619047619
9400;76.19047619047619
9600;76.19047619047619
9800;75.75757575757575
9999;76.19047619047619
