Gen;Accuracy
0;36.05150214592275
200;65.66523605150213
400;65.66523605150213
600;65.66523605150213
800;65.66523605150213
1000;65.66523605150213
1200;65.66523605150213
1400;68.6695278969957
1600;72.96137339055794
1800;76.39484978540773
2000;76.39484978540773
2200;77.25321888412017
2400;77.25321888412017
2600;77.25321888412017
2800;77.25321888412017
3000;77.25321888412017
3200;80.68669527896995
3400;80.68669527896995
3600;80.68669527896995
3800;80.68669527896995
4000;80.68669527896995
4200;81.97424892703863
4400;80.68669527896995
4600;80.68669527896995
4800;80.68669527896995
5000;80.68669527896995
5200;80.68669527896995
5400;80.68669527896995
5600;80.68669527896995
5800;80.68669527896995
6000;80.68669527896995
6200;80.68669527896995
6400;80.68669527896995
6600;80.68669527896995
6800;80.68669527896995
7000;80.68669527896995
7200;80.68669527896995
7400;80.68669527896995
7600;80.68669527896995
7800;80.68669527896995
8000;80.68669527896995
8200;80.68669527896995
8400;80.68669527896995
8600;80.68669527896995
8800;80.68669527896995
9000;80.68669527896995
9200;80.68669527896995
9400;80.68669527896995
9600;80.68669527896995
9800;80.68669527896995
9999;80.68669527896995
