Gen;Accuracy
0;47.05882352941176
200;68.4873949579832
400;77.31092436974791
600;77.31092436974791
800;79.41176470588235
1000;81.9327731092437
1200;81.9327731092437
1400;81.9327731092437
1600;81.9327731092437
1800;81.9327731092437
2000;81.9327731092437
2200;81.9327731092437
2400;81.9327731092437
2600;81.9327731092437
2800;81.9327731092437
3000;81.9327731092437
3200;81.9327731092437
3400;81.9327731092437
3600;81.9327731092437
3800;81.9327731092437
4000;81.9327731092437
4200;81.9327731092437
4400;81.9327731092437
4600;81.9327731092437
4800;81.9327731092437
5000;81.9327731092437
5200;81.9327731092437
5400;81.9327731092437
5600;81.9327731092437
5800;81.9327731092437
6000;81.9327731092437
6200;81.9327731092437
6400;81.9327731092437
6600;81.9327731092437
6800;81.9327731092437
7000;81.9327731092437
7200;81.9327731092437
7400;81.9327731092437
7600;81.9327731092437
7800;81.9327731092437
8000;81.9327731092437
8200;81.9327731092437
8400;81.9327731092437
8600;81.9327731092437
8800;81.9327731092437
9000;81.9327731092437
9200;81.9327731092437
9400;81.9327731092437
9600;81.9327731092437
9800;81.9327731092437
9999;81.9327731092437
