Gen;Accuracy
0;54.310344827586206
200;69.82758620689656
400;69.82758620689656
600;73.27586206896551
800;72.41379310344827
1000;72.41379310344827
1200;72.41379310344827
1400;72.41379310344827
1600;72.41379310344827
1800;72.41379310344827
2000;72.41379310344827
2200;72.41379310344827
2400;73.70689655172413
2600;72.41379310344827
2800;73.70689655172413
3000;72.41379310344827
3200;73.70689655172413
3400;72.41379310344827
3600;74.13793103448276
3800;76.72413793103449
4000;76.72413793103449
4200;76.72413793103449
4400;76.72413793103449
4600;79.74137931034483
4800;79.74137931034483
5000;79.74137931034483
5200;79.74137931034483
5400;79.74137931034483
5600;79.74137931034483
5800;79.74137931034483
6000;79.74137931034483
6200;79.74137931034483
6400;79.74137931034483
6600;79.74137931034483
6800;79.74137931034483
7000;79.74137931034483
7200;79.74137931034483
7400;79.74137931034483
7600;79.74137931034483
7800;79.74137931034483
8000;79.74137931034483
8200;79.74137931034483
8400;79.74137931034483
8600;79.74137931034483
8800;79.74137931034483
9000;79.74137931034483
9200;79.74137931034483
9400;79.74137931034483
9600;79.74137931034483
9800;79.74137931034483
9999;79.74137931034483
