Gen;Accuracy
0;58.8477366255144
200;78.18930041152264
400;78.18930041152264
600;78.18930041152264
800;79.01234567901234
1000;81.06995884773663
1200;81.06995884773663
1400;81.06995884773663
1600;81.06995884773663
1800;81.06995884773663
2000;81.06995884773663
2200;81.06995884773663
2400;81.06995884773663
2600;81.06995884773663
2800;81.06995884773663
3000;81.06995884773663
3200;81.06995884773663
3400;81.06995884773663
3600;81.06995884773663
3800;81.06995884773663
4000;81.06995884773663
4200;81.06995884773663
4400;81.06995884773663
4600;81.06995884773663
4800;81.06995884773663
5000;81.06995884773663
5200;81.06995884773663
5400;81.06995884773663
5600;81.06995884773663
5800;81.06995884773663
6000;81.06995884773663
6200;81.06995884773663
6400;81.06995884773663
6600;81.06995884773663
6800;81.06995884773663
7000;81.06995884773663
7200;81.06995884773663
7400;81.06995884773663
7600;81.06995884773663
7800;81.06995884773663
8000;81.06995884773663
8200;81.06995884773663
8400;81.06995884773663
8600;81.06995884773663
8800;81.06995884773663
9000;81.06995884773663
9200;81.06995884773663
9400;81.06995884773663
9600;81.06995884773663
9800;81.06995884773663
9999;81.06995884773663
