Gen;Accuracy
0;62.869198312236286
200;69.62025316455697
400;71.30801687763713
600;73.83966244725738
800;73.83966244725738
1000;73.83966244725738
1200;73.83966244725738
1400;73.83966244725738
1600;73.83966244725738
1800;73.83966244725738
2000;73.83966244725738
2200;73.83966244725738
2400;73.83966244725738
2600;73.83966244725738
2800;73.83966244725738
3000;75.52742616033755
3200;75.52742616033755
3400;75.52742616033755
3600;75.52742616033755
3800;75.52742616033755
4000;75.52742616033755
4200;75.52742616033755
4400;75.52742616033755
4600;75.52742616033755
4800;75.52742616033755
5000;75.52742616033755
5200;75.52742616033755
5400;75.52742616033755
5600;75.52742616033755
5800;75.52742616033755
6000;75.52742616033755
6200;77.63713080168776
6400;77.63713080168776
6600;77.63713080168776
6800;77.63713080168776
7000;77.63713080168776
7200;77.63713080168776
7400;77.63713080168776
7600;77.63713080168776
7800;77.63713080168776
8000;77.63713080168776
8200;77.63713080168776
8400;77.63713080168776
8600;77.63713080168776
8800;77.63713080168776
9000;77.63713080168776
9200;77.63713080168776
9400;77.63713080168776
9600;77.63713080168776
9800;77.63713080168776
9999;77.63713080168776
