Gen;Accuracy
0;51.70940170940172
200;73.93162393162393
400;73.93162393162393
600;76.92307692307693
800;76.92307692307693
1000;76.92307692307693
1200;76.92307692307693
1400;76.92307692307693
1600;76.92307692307693
1800;76.92307692307693
2000;76.92307692307693
2200;78.63247863247864
2400;78.63247863247864
2600;78.63247863247864
2800;78.63247863247864
3000;78.63247863247864
3200;78.63247863247864
3400;78.63247863247864
3600;78.63247863247864
3800;78.63247863247864
4000;78.63247863247864
4200;78.63247863247864
4400;78.63247863247864
4600;78.63247863247864
4800;78.63247863247864
5000;78.63247863247864
5200;78.63247863247864
5400;80.34188034188034
5600;80.34188034188034
5800;80.34188034188034
6000;80.34188034188034
6200;80.34188034188034
6400;80.34188034188034
6600;80.34188034188034
6800;80.34188034188034
7000;80.34188034188034
7200;80.34188034188034
7400;80.34188034188034
7600;80.34188034188034
7800;80.34188034188034
8000;80.34188034188034
8200;80.34188034188034
8400;80.34188034188034
8600;80.34188034188034
8800;80.34188034188034
9000;80.34188034188034
9200;80.34188034188034
9400;80.34188034188034
9600;80.34188034188034
9800;80.34188034188034
9999;80.34188034188034
