Gen;Accuracy
0;51.028806584362144
200;62.55144032921811
400;71.60493827160494
600;71.60493827160494
800;71.60493827160494
1000;71.60493827160494
1200;75.7201646090535
1400;75.7201646090535
1600;75.7201646090535
1800;75.7201646090535
2000;75.7201646090535
2200;75.7201646090535
2400;75.7201646090535
2600;75.7201646090535
2800;75.7201646090535
3000;75.7201646090535
3200;75.7201646090535
3400;77.77777777777779
3600;77.77777777777779
3800;77.77777777777779
4000;77.77777777777779
4200;77.77777777777779
4400;77.77777777777779
4600;77.77777777777779
4800;77.77777777777779
5000;77.77777777777779
5200;77.77777777777779
5400;77.77777777777779
5600;77.77777777777779
5800;77.77777777777779
6000;77.77777777777779
6200;77.77777777777779
6400;77.77777777777779
6600;77.77777777777779
6800;77.77777777777779
7000;77.77777777777779
7200;77.77777777777779
7400;77.77777777777779
7600;77.77777777777779
7800;77.77777777777779
8000;77.77777777777779
8200;77.77777777777779
8400;77.77777777777779
8600;77.77777777777779
8800;77.77777777777779
9000;77.77777777777779
9200;77.77777777777779
9400;77.77777777777779
9600;77.77777777777779
9800;77.77777777777779
9999;77.77777777777779
