Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Accuracy
6,50,0.0
0,136.0,0.0072992700729927005,0.032297487856388425,113.0,0.46122448979591835
1,136.0,0.0072992700729927005,0.027574790437452083,113.0,0.46122448979591835
2,136.0,0.0072992700729927005,0.025497694056802755,113.0,0.46122448979591835
3,136.0,0.0072992700729927005,0.02487954244358016,113.0,0.46122448979591835
4,136.0,0.0072992700729927005,0.0247880873210075,113.0,0.46122448979591835
5,136.0,0.0072992700729927005,0.023659888719960522,113.0,0.46122448979591835
6,132.0,0.007518796992481203,0.02294628660627906,120.0,0.4897959183673469
7,128.0,0.007751937984496124,0.024040893843857963,124.0,0.5061224489795918
8,125.0,0.007936507936507936,0.02314231697747314,124.0,0.5061224489795918
9,125.0,0.007936507936507936,0.02325012097115106,124.0,0.5061224489795918
10,125.0,0.007936507936507936,0.023729453967476416,124.0,0.5061224489795918
11,125.0,0.007936507936507936,0.02391830210810799,124.0,0.5061224489795918
12,125.0,0.007936507936507936,0.02304513704662167,124.0,0.5061224489795918
13,125.0,0.007936507936507936,0.022839759284626584,124.0,0.5061224489795918
14,125.0,0.007936507936507936,0.024242344008746287,124.0,0.5061224489795918
15,119.0,0.008333333333333333,0.024164396980983716,133.0,0.5428571428571428
16,119.0,0.008333333333333333,0.024212884479605415,133.0,0.5428571428571428
17,119.0,0.008333333333333333,0.023566964079842996,133.0,0.5428571428571428
18,118.0,0.008403361344537815,0.022702617640204266,134.0,0.5469387755102041
19,118.0,0.008403361344537815,0.024139913402554707,134.0,0.5469387755102041
20,118.0,0.008403361344537815,0.022236298493235777,134.0,0.5469387755102041
21,118.0,0.008403361344537815,0.02301299351810797,134.0,0.5469387755102041
22,118.0,0.008403361344537815,0.02416925657785895,134.0,0.5469387755102041
23,118.0,0.008403361344537815,0.022394391598715622,134.0,0.5469387755102041
24,118.0,0.008403361344537815,0.022683436251617128,134.0,0.5469387755102041
25,118.0,0.008403361344537815,0.02188391728468192,134.0,0.5469387755102041
26,117.0,0.00847457627118644,0.023059728506380665,135.0,0.5510204081632653
27,117.0,0.00847457627118644,0.024359549441345486,135.0,0.5510204081632653
28,117.0,0.00847457627118644,0.02244244260891503,135.0,0.5510204081632653
29,117.0,0.00847457627118644,0.022438074004310866,135.0,0.5510204081632653
30,117.0,0.00847457627118644,0.021752307029554573,135.0,0.5510204081632653
31,117.0,0.00847457627118644,0.02236249775341709,135.0,0.5510204081632653
32,117.0,0.00847457627118644,0.02183944086893932,135.0,0.5510204081632653
33,117.0,0.00847457627118644,0.023115853434043352,135.0,0.5510204081632653
34,117.0,0.00847457627118644,0.02240824777800905,135.0,0.5510204081632653
35,117.0,0.00847457627118644,0.02293866589341762,135.0,0.5510204081632653
36,117.0,0.00847457627118644,0.023063699293751936,135.0,0.5510204081632653
37,117.0,0.00847457627118644,0.023076143344938026,135.0,0.5510204081632653
38,117.0,0.00847457627118644,0.021856867612799476,135.0,0.5510204081632653
39,117.0,0.00847457627118644,0.02152310597357697,135.0,0.5510204081632653
40,117.0,0.00847457627118644,0.021032203627111803,135.0,0.5510204081632653
41,117.0,0.00847457627118644,0.02100293435229678,135.0,0.5510204081632653
42,117.0,0.00847457627118644,0.0217975596067082,135.0,0.5510204081632653
43,117.0,0.00847457627118644,0.02140964236956711,135.0,0.5510204081632653
44,117.0,0.00847457627118644,0.022648133607964888,135.0,0.5510204081632653
45,117.0,0.00847457627118644,0.022869338562473192,135.0,0.5510204081632653
46,117.0,0.00847457627118644,0.022454345392653823,135.0,0.5510204081632653
47,117.0,0.00847457627118644,0.021623046993396882,135.0,0.5510204081632653
48,117.0,0.00847457627118644,0.022076174905691723,135.0,0.5510204081632653
49,117.0,0.00847457627118644,0.02309499933593744,135.0,0.5510204081632653
50,117.0,0.00847457627118644,0.022332966820744926,135.0,0.5510204081632653
51,117.0,0.00847457627118644,0.022386537876426457,135.0,0.5510204081632653
52,117.0,0.00847457627118644,0.02193404485444761,135.0,0.5510204081632653
53,117.0,0.00847457627118644,0.022176360109692088,135.0,0.5510204081632653
54,117.0,0.00847457627118644,0.022011277258254754,135.0,0.5510204081632653
55,117.0,0.00847457627118644,0.02241396443003888,135.0,0.5510204081632653
56,117.0,0.00847457627118644,0.023185023899673796,135.0,0.5510204081632653
57,117.0,0.00847457627118644,0.022772248055256353,135.0,0.5510204081632653
58,117.0,0.00847457627118644,0.021879097181045706,135.0,0.5510204081632653
59,117.0,0.00847457627118644,0.021332751423796602,135.0,0.5510204081632653
60,117.0,0.00847457627118644,0.022437621627388424,135.0,0.5510204081632653
61,117.0,0.00847457627118644,0.022027067046280453,135.0,0.5510204081632653
62,117.0,0.00847457627118644,0.021868453614379092,135.0,0.5510204081632653
63,117.0,0.00847457627118644,0.022279941336038087,135.0,0.5510204081632653
64,117.0,0.00847457627118644,0.022595352875040484,135.0,0.5510204081632653
65,117.0,0.00847457627118644,0.022381671669269645,135.0,0.5510204081632653
66,117.0,0.00847457627118644,0.022342611160843726,135.0,0.5510204081632653
67,117.0,0.00847457627118644,0.022956204259990478,135.0,0.5510204081632653
68,117.0,0.00847457627118644,0.02182502015452427,135.0,0.5510204081632653
69,117.0,0.00847457627118644,0.021518921351222235,135.0,0.5510204081632653
70,117.0,0.00847457627118644,0.022174027938614872,135.0,0.5510204081632653
71,117.0,0.00847457627118644,0.022293166320511898,135.0,0.5510204081632653
72,117.0,0.00847457627118644,0.022549458017210654,135.0,0.5510204081632653
73,117.0,0.00847457627118644,0.022716036606742318,135.0,0.5510204081632653
74,117.0,0.00847457627118644,0.02271390857181196,135.0,0.5510204081632653
75,117.0,0.00847457627118644,0.02243659870362284,135.0,0.5510204081632653
76,117.0,0.00847457627118644,0.02247523802889633,135.0,0.5510204081632653
77,117.0,0.00847457627118644,0.02197467955471417,135.0,0.5510204081632653
78,117.0,0.00847457627118644,0.022489489278329035,135.0,0.5510204081632653
79,117.0,0.00847457627118644,0.02275863910029968,135.0,0.5510204081632653
80,117.0,0.00847457627118644,0.02276400866291048,135.0,0.5510204081632653
81,117.0,0.00847457627118644,0.023405436127499245,135.0,0.5510204081632653
82,117.0,0.00847457627118644,0.02247517140280148,135.0,0.5510204081632653
83,117.0,0.00847457627118644,0.022675167404937312,135.0,0.5510204081632653
84,117.0,0.00847457627118644,0.022372950919453002,135.0,0.5510204081632653
85,117.0,0.00847457627118644,0.021289900055499706,135.0,0.5510204081632653
86,117.0,0.00847457627118644,0.021853526467445265,135.0,0.5510204081632653
87,117.0,0.00847457627118644,0.021780826398232932,135.0,0.5510204081632653
88,117.0,0.00847457627118644,0.02140966360944498,135.0,0.5510204081632653
89,117.0,0.00847457627118644,0.021778524449724012,135.0,0.5510204081632653
90,117.0,0.00847457627118644,0.02217630835186931,135.0,0.5510204081632653
91,117.0,0.00847457627118644,0.023862617349320492,135.0,0.5510204081632653
92,117.0,0.00847457627118644,0.023136173574519133,135.0,0.5510204081632653
93,117.0,0.00847457627118644,0.023556872521356655,135.0,0.5510204081632653
94,117.0,0.00847457627118644,0.023309164901579665,135.0,0.5510204081632653
95,117.0,0.00847457627118644,0.023097391675717015,135.0,0.5510204081632653
96,117.0,0.00847457627118644,0.0214277061977971,135.0,0.5510204081632653
97,117.0,0.00847457627118644,0.021634073500745515,135.0,0.5510204081632653
